# E-JIP SCORE V2 STEP 3 — Blind Expert Review Sheet
# 질문: 1) 어느 단지가 실거주 품질이 높아 보입니까(A/B/TIE)? 2) 가장 중요한 이유는?
# V2 점수는 이 파일에 없습니다 — 답변 후 answer-key와 대조하세요.
pairId,side,subwayDistanceM,subwayStatus,busStopDistanceM,busStopCount300m,ageYears,households,parkingRatio,elementaryDistanceM,mart1000m,convenience500m,pharmacy500m,hospital1000m,park1000m,dataConfidence
PAIR-27,B,,CONFIRMED_ABSENT,124,20,6,1530,1.41,837,2,12,2,13,12,HIGH
PAIR-28,A,,CONFIRMED_ABSENT,35,8,32,73,정보없음,44,1,7,4,35,15,HIGH
PAIR-28,B,429,VALUE,122,16,7,498,1.15,805,4,8,2,38,7,HIGH
PAIR-29,A,221,VALUE,169,2,37,386,정보없음,44,2,6,4,45,13,HIGH
PAIR-29,B,,CONFIRMED_ABSENT,129,4,41,60,정보없음,829,1,7,10,20,2,HIGH
PAIR-30,A,290,VALUE,154,4,23,21,정보없음,46,3,38,29,45,14,HIGH
PAIR-30,B,365,VALUE,47,16,6,26,정보없음,878,1,9,6,45,13,HIGH
PAIR-31,A,219,VALUE,76,23,22,79,정보없음,211,3,45,45,45,14,HIGH
PAIR-31,B,,CONFIRMED_ABSENT,171,4,10,,정보없음,,0,2,0,0,2,HIGH
PAIR-32,A,339,VALUE,,,21,358,정보없음,217,4,42,39,45,15,HIGH
PAIR-32,B,,CONFIRMED_ABSENT,94,7,2,191,1.37,,0,4,0,1,0,HIGH
PAIR-33,A,388,VALUE,148,13,9,48,정보없음,406,4,41,38,45,15,HIGH
PAIR-33,B,138,VALUE,69,13,7,,정보없음,462,1,5,0,0,0,HIGH
PAIR-34,A,208,VALUE,58,13,11,26,정보없음,303,4,38,31,45,14,HIGH
PAIR-34,B,,MISSING,,,36,,정보없음,791,0,1,0,1,2,HIGH
PAIR-35,A,296,VALUE,117,10,23,107,정보없음,214,2,39,36,45,15,HIGH
PAIR-35,B,,CONFIRMED_ABSENT,35,11,30,288,정보없음,369,0,3,0,3,1,HIGH
PAIR-36,A,370,VALUE,77,15,23,81,정보없음,501,4,34,39,45,15,HIGH
PAIR-36,B,,CONFIRMED_ABSENT,168,6,24,49,정보없음,103,0,1,0,2,4,HIGH
PAIR-37,A,97,VALUE,,,33,930,0.55,734,2,6,12,45,14,HIGH
PAIR-37,B,867,VALUE,167,15,24,315,1.68,697,4,9,0,45,12,HIGH
PAIR-38,A,179,VALUE,181,18,32,1741,0.51,429,2,10,3,16,9,HIGH
PAIR-38,B,638,VALUE,167,5,15,1631,2.34,193,2,14,7,44,11,HIGH
PAIR-39,A,250,VALUE,115,11,25,1780,0.81,476,1,6,5,21,13,HIGH
PAIR-39,B,611,VALUE,36,11,18,112,1.93,566,4,8,3,27,11,HIGH
PAIR-40,A,234,VALUE,80,19,25,360,0.78,250,4,7,3,45,15,HIGH
PAIR-40,B,750,VALUE,244,4,16,1598,1.71,393,1,12,5,45,13,HIGH
PAIR-41,A,231,VALUE,,,33,280,0.85,426,3,11,8,45,15,HIGH
PAIR-41,B,639,VALUE,264,3,19,265,2.22,244,2,11,4,45,14,HIGH
PAIR-42,A,113,VALUE,39,23,25,430,0.73,479,2,8,10,43,15,HIGH
PAIR-42,B,783,VALUE,37,6,20,213,1.69,278,0,6,0,45,14,HIGH
PAIR-43,A,81,VALUE,52,6,7,114,정보없음,296,3,7,2,45,1,HIGH
PAIR-43,B,880,VALUE,19,13,28,1721,0.61,388,4,8,5,45,10,HIGH
PAIR-44,A,520,VALUE,54,28,8,50,정보없음,222,3,13,5,45,10,HIGH
PAIR-44,B,879,VALUE,103,10,30,1358,1.14,340,4,7,5,45,10,HIGH
PAIR-45,A,996,VALUE,83,16,6,141,정보없음,268,4,11,2,45,14,HIGH
PAIR-45,B,382,VALUE,176,8,27,819,1.07,161,2,10,5,45,4,HIGH
PAIR-46,A,284,VALUE,42,14,7,186,0.87,377,2,20,12,45,11,HIGH
PAIR-46,B,327,VALUE,137,9,28,1691,1.09,179,2,11,8,45,10,HIGH
PAIR-47,A,167,VALUE,21,18,7,121,정보없음,314,2,21,16,45,15,HIGH
PAIR-47,B,723,VALUE,103,19,29,1885,정보없음,445,1,8,5,45,14,HIGH
PAIR-48,A,835,VALUE,63,11,6,156,정보없음,578,1,6,2,45,13,HIGH
PAIR-48,B,,CONFIRMED_ABSENT,52,9,38,2544,정보없음,322,1,4,1,11,13,HIGH
